,Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
95,Sex and the City,"Comedy, Drama, Romance",145,2008,A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,111782,152.65,5.6,53.0
96,The 40-Year-Old Virgin,"Comedy, Romance",116,2005,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",371900,109.45,7.1,73.0
97,Only Lovers Left Alive,"Comedy, Drama, Fantasy",123,2013,"A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister.",83312,1.88,7.3,79.0
100,Sex and Zen,"Comedy, Drama, Fantasy",99,1991,"A man marries a beautiful wife, but decides to go out and experience as many sexual conquests as possible, with unusual and often hilarious results. Meanwhile, his wife is forced to enter a brothel and work as a prostitute.",1911,0.40,5.6,58.0
101,Romancing the Stone,"Action, Adventure, Comedy",106,1984,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.",77248,76.57,6.9,63.0
102,Four Weddings and a Funeral,"Comedy, Drama, Romance",117,1994,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",129803,52.70,7.0,81.0
103,The House Bunny,"Comedy, Romance",97,2008,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",75615,48.24,5.5,55.0
104,Victor Victoria,"Comedy, Music, Musical",134,1982,"A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.",18246,21.93,7.6,84.0
107,Shallow Hal,"Comedy, Drama, Fantasy",114,2001,A shallow man falls in love with a 300-pound woman because of her inner beauty.,122279,70.84,5.9,48.0
108,Blended,"Comedy, Romance",117,2014,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",109232,46.29,6.5,31.0
109,Mamma Mia!,"Comedy, Musical, Romance",108,2008,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group,199114,144.13,6.4,51.0
111,You've Got Mail,"Comedy, Drama, Romance",119,1998,Two business rivals who despise each other in real life unwittingly fall in love over the Internet.,180964,115.82,6.6,57.0
113,Love & Other Drugs,"Comedy, Drama, Romance",112,2010,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,170643,32.37,6.7,55.0
114,There's Something About Mary,"Comedy, Romance",119,1998,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",278274,176.48,7.1,69.0
116,No Strings Attached,"Comedy, Romance",108,2011,"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",201103,70.66,6.2,50.0
117,Hercules,"Animation, Adventure, Comedy",93,1997,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,188388,99.05,7.3,74.0
