Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
Popeye,"
Adventure, Comedy, Family            ",114 min,(1980),"
    The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.","27,501",$49.82M,5.2,64        
He's Just Not That Into You,"
Comedy, Drama, Romance            ",129 min,(2009),"
    This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.","152,415",$93.95M,6.4,47        
The Little Rascals,"
Comedy, Family, Romance            ",82 min,(1994),"
    Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.","40,451",$51.76M,6.3,45        
Moonrise Kingdom,"
Comedy, Drama, Romance            ",94 min,(2012),"
    A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","297,370",$45.51M,7.8,84        
The Girl Next Door,"
Comedy, Drama, Romance            ",109 min,(2004),"
    A teenager's dreams come true when a former porn star moves in next door and they fall in love.","192,926",$14.59M,6.7,47        
Wet Hot American Summer,"
Comedy, Romance            ",97 min,(2001),"
    Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.","51,170",$0.29M,6.6,42        
Tangled,"
Animation, Adventure, Comedy            ",100 min,(2010),"
    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","375,578",$200.82M,7.7,71        
Malena,"
Comedy, Drama, Romance            ",108 min,(2000),"
    Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.","82,284",$3.43M,7.5,54        
Eureka,"
Adventure, Comedy, Drama            ",60 min,(2006–2012),"
    A U.S. Marshall becomes the sheriff of a remote cozy little Northwestern town of Eureka where the best minds in the US have secretly been tucked away to build futuristic inventions for the government which often go disastrously wrong.","45,503",,7.9,
As Good as It Gets,"
Comedy, Drama, Romance            ",139 min,(1997),"
    A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.","259,250",$148.48M,7.7,67        
Stop! Or My Mom Will Shoot,"
Action, Comedy, Family            ",87 min,(1992),"
    A tough police sergeant's overbearing mother comes to visit him and begins to meddle in his life and career.","36,542",$28.41M,4.3,
"Definitely, Maybe","
Comedy, Drama, Romance            ",112 min,(2008),"
    A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.","148,461",$31.97M,7.1,59        
Notting Hill,"
Comedy, Drama, Romance            ",124 min,(1999),"
    The life of a simple bookshop owner changes when he meets the most famous film star in the world.","251,421",$116.09M,7.1,68        
Jerry Maguire,"
Comedy, Drama, Romance            ",139 min,(1996),"
    When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former secretary.","226,728",$153.95M,7.3,77        
Sex and the City,"
Comedy, Drama, Romance            ",145 min,(2008),"
    A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.","111,782",$152.65M,5.6,53        
The 40-Year-Old Virgin,"
Comedy, Romance            ",116 min,(2005),"
    Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.","371,900",$109.45M,7.1,73        
Only Lovers Left Alive,"
Comedy, Drama, Fantasy            ",123 min,(2013),"
    A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister.","83,312",$1.88M,7.3,79        
Saved by the Bell,"
Comedy, Family, Romance            ",30 min,(1989–1992),"
    A close knit group of six friends try to make it through their teens while attending Bayside High School in Palisades, California.","29,301",,7.0,
The Nanny,"
Comedy, Family, Romance            ",22 min,(1993–1999),"
    After being fired from her job and dumped by her boyfriend, a cosmetics saleswoman becomes the nanny to the three children of a rich English widower. As time passes, the two fall for each other.","34,626",,6.9,
Sex and Zen,"
Comedy, Drama, Fantasy            ",99 min,(1991),"
    A man marries a beautiful wife, but decides to go out and experience as many sexual conquests as possible, with unusual and often hilarious results. Meanwhile, his wife is forced to enter a brothel and work as a prostitute.","1,911",$0.40M,5.6,58        
Romancing the Stone,"
Action, Adventure, Comedy            ",106 min,(1984),"
    A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.","77,248",$76.57M,6.9,63        
Four Weddings and a Funeral,"
Comedy, Drama, Romance            ",117 min,(1994),"
    Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.","129,803",$52.70M,7.0,81        
